cpu_usage,cpu_std,memory_usage,memory_delta,runtime,cpu_per_second,child_process_count
17.084412193873096,0.0,-0.6167645342324206,0.0,12.124354554056103,-0.07879258968123994,0.12650319662515566
0.092652272935216,0.0,-0.5324011783485036,0.0,12.124354554056103,-0.07879258968123994,0.37285152689519563
-0.06795841551934552,0.0,0.20577818563577063,0.0,-0.08202597662780135,-0.07879258968123994,-0.11984513364488432
-0.06795841551934552,0.0,-0.19494775481283533,0.0,-0.08202597662780135,-0.07879258968123994,-0.11984513364488432
-0.06795841551934552,0.0,-0.49021950040654505,0.0,-0.08290010785578197,-0.07879258968123994,-0.11984513364488432
-0.06795841551934552,0.0,-0.21603859378381463,0.0,-0.08290030775961929,-0.07879258968123994,-0.11984513364488432
-0.06795841551934552,0.0,-0.574582856290462,0.0,-0.08202608691957367,-0.07879258968123994,-0.11984513364488432
-0.06795841551934552,0.0,-0.6167645342324206,0.0,-0.08202599041427289,-0.07879258968123994,-0.11984513364488432
-0.06795841551934552,0.0,-0.3004019496677317,0.0,-0.08202695546728068,-0.07879258968123994,-0.11984513364488432
-0.06795841551934552,0.0,-0.5534920173194827,0.0,-0.0820260800263379,-0.07879258968123994,-0.11984513364488432
-0.06795841551934552,0.0,-0.49021950040654505,0.0,-0.0820260800263379,-0.07879258968123994,-0.11984513364488432
-0.06795841551934552,0.0,-0.5534920173194827,0.0,-0.0820260593466306,-0.07879258968123994,-0.11984513364488432
-0.06795841551934552,0.0,0.6697766429973143,0.0,-0.08289994931135926,-0.07879258968123994,-0.11984513364488432
-0.06795841551934552,0.0,-0.5534920173194827,0.0,-0.08202607313310213,-0.07879258968123994,0.37285152689519563
-0.06795841551934552,0.0,-0.46912866143556575,0.0,-0.08202607313310213,-0.07879258968123994,16.385492994447795
-0.06795841551934552,0.0,-0.44803782246458645,0.0,-0.0829009695102532,-0.07879258968123994,-0.11984513364488432
-0.06795841551934552,0.0,-0.3004019496677317,0.0,-0.08289988727223734,-0.07879258968123994,-0.11984513364488432
-0.06795841551934552,0.0,-0.5956736952614413,0.0,-0.08202607313310213,-0.07879258968123994,-0.11984513364488432
