timestamp,pid,process_name,parent_process,cpu_usage,cpu_std,memory_usage,memory_delta,runtime,cpu_per_second,child_process_count
2026-03-12 15:35:59,4432,EpicWebHelper.exe,EpicGamesLauncher.exe,0.0,0,0.39,0.0,42,0.0,0
2026-03-12 15:35:59,4508,MemCompression,System,0.0,0,0.2,0.0,59767,0.0,0
2026-03-12 15:35:59,4572,svchost.exe,services.exe,0.0,0,0.07,0.0,59767,0.0,0
2026-03-12 15:35:59,4596,svchost.exe,services.exe,0.0,0,0.06,0.0,59767,0.0,0
2026-03-12 15:35:59,4648,audiodg.exe,svchost.exe,0.0,0,0.13,0.0,59767,0.0,0
2026-03-12 15:35:59,4672,svchost.exe,services.exe,0.0,0,0.07,0.0,59768,0.0,0
2026-03-12 15:35:59,4684,svchost.exe,services.exe,0.0,0,0.06,0.0,59768,0.0,0
2026-03-12 15:35:59,4692,NVDisplay.Container.exe,NVDisplay.Container.exe,0.0,0,0.33,0.0,13658,0.0,0
2026-03-12 15:35:59,4760,svchost.exe,services.exe,0.0,0,0.16,0.0,59768,0.0,1
2026-03-12 15:35:59,4772,svchost.exe,services.exe,0.0,0,0.15,0.0,59768,0.0,0
2026-03-12 15:35:59,4784,nvcontainer.exe,nvcontainer.exe,0.0,0,0.31,0.0,101,0.0,0
2026-03-12 15:35:59,4840,svchost.exe,services.exe,0.0,0,0.12,0.0,59769,0.0,1
2026-03-12 15:35:59,4912,svchost.exe,services.exe,0.0,0,0.1,0.0,59768,0.0,0
2026-03-12 15:35:59,4920,svchost.exe,services.exe,0.0,0,0.07,0.0,59769,0.0,1
2026-03-12 15:35:59,4952,svchost.exe,services.exe,0.0,0,0.17,0.0,59769,0.0,0
2026-03-12 15:35:59,5020,msedgewebview2.exe,SearchHost.exe,0.0,0,0.76,0.0,94,0.0,5
2026-03-12 15:35:59,5064,svchost.exe,services.exe,0.0,0,0.18,0.0,59769,0.0,0
2026-03-12 15:35:59,5108,svchost.exe,services.exe,0.0,0,0.23,0.0,59770,0.0,0
2026-03-12 15:35:59,5156,AsusOptimization.exe,services.exe,0.0,0,0.09,0.0,59769,0.0,2
2026-03-12 15:35:59,5168,svchost.exe,services.exe,0.0,0,0.13,0.0,59770,0.0,0
2026-03-12 15:35:59,5204,NVIDIA Overlay.exe,NVIDIA Overlay.exe,0.0,0,0.35,0.0,96,0.0,0
2026-03-12 15:35:59,5336,nvsphelper64.exe,nvcontainer.exe,0.0,0,0.11,0.0,98,0.0,0
2026-03-12 15:35:59,5384,spoolsv.exe,services.exe,0.0,0,0.12,0.0,59770,0.0,0
